Type                                  Module                      Label             Process   
trigger::TriggerFilterObjectWithRefs   "hltEle24WP80PFJet30PFJet25Deta3PFJetCollectionsVBFFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle24WP80PixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle24WP80TrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVCaloIsoTPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoTEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoTHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoTHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoTOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoTTrkIdTTrkIsoTCentralBPFNoPUJet30EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoTTrkIdTTrkIsoTCentralPFNoPUJet30EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLTrkIdVLTrkIsoTCentralPFNoPUJet45EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLTrkIdVLTrkIsoTCentralPFNoPUJet50EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLTrkIdVLTrkIsoTDiCentralPFNoPUJet30EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLTrkIdVLTrkIsoTDiCentralPFNoPUJet35EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLTrkIdVLTrkIsoTDiCentralPFNoPUJet40EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLTrkIdVLTrkIsoTTriCentralPFNoPUJet25EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTCaloIsoVLTrkIdVLTrkIsoTTriCentralPFNoPUJet30EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTTrkIdLCaloIsoVLDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTTrkIdTCaloIsoTDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTTrkIdTCaloIsoTDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTTrkIdTCaloIsoTTrkIsoTTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTTrkIdVLCaloIsoVLDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25CaloIdVTTrkIdVLCaloIsoVLTrkIsoTTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90ClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle25WP90RhoTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLTrkIdVLDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLTrkIdVLDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLCaloIsoVLTrkIdVLTrkIsoVLTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27CaloIdLClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27TightIdLooseIsoTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80CentralPFJet80EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80ClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80DetaFilter"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80DphiFilter"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80EcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80HEFilter"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80HcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80OneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80PFMT50PFMTFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80PixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle27WP80TrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTTrkIdVLTrkIsoTCentralPFNoPUJet60EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTTrkIdVLTrkIsoTCentralPFNoPUJet65EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTTrkIdVLTrkIsoTDiCentralPFNoPUJet40EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTTrkIdVLTrkIsoTDiCentralPFNoPUJet45EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTTrkIdVLTrkIsoTTriCentralPFNoPUJet25EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTCaloIsoTTrkIdVLTrkIsoTTriCentralPFNoPUJet40EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTTrkIdLCaloIsoTDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTTrkIdVLCaloIsoTDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle28CaloIdVTTrkIdVLCaloIsoTTrkIsoTTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTTrkIdTDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTTrkIdTDiCentralPFNoPUJet100EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTTrkIdTDiCentralPFNoPUJet125EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTTrkIdTDiCentralPFNoPUJet150EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTTrkIdTDiCentralPFNoPUJet180EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTTrkIdTDiCentralPFNoPUJet25EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30CaloIdVTTrkIdTDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoClusterShapeDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoDetaDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoDphiDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoEcalIsoDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoHEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoHcalIsoDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoOneOEMinusOneOPDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoPixelMatchDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoTrackIsoDZ"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoTrackIsoDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoEle27TightIdLooseIsoTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30TightIdLooseIsoTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle30WP90RhoTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLTrkIdVLDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLTrkIdVLDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdLCaloIsoVLTrkIdVLTrkIsoVLTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17ClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17DetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17DoubleEtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17DphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17EcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17EtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17HEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17HEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17HcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17L1MatchFilterRegional"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17OneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17PMMassFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17PixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle32CaloIdTCaloIsoTTrkIdTTrkIsoTSC17TrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle33CaloIdLPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle33CaloIdTPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVCaloIsoTPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTCaloIsoTEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTCaloIsoTHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTCaloIsoTHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTCaloIsoTOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTCaloIsoTTrkIdTTrkIsoTCentralBPFNoPUJet50EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTTrkIdTCaloIsoTDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTTrkIdTCaloIsoTDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CaloIdVTTrkIdTCaloIsoTTrkIsoTTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36CentralPFNoPUJet50BLifetimeL3PFNoPUFilterSingleTop"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80CentralPFJet40EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80CentralPFJet95EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80ClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80DetaFilter"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80DiCentralPFJet30EleCleaned"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80DphiFilter"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80EcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80HEFilter"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80HcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80OneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80PFJet35PFJet30Deta3CentralPFJet35PFJetCollectionsVBFFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80PFJet35PFJet30Deta3PFJetCollectionsVBFFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80PFMT60PFMTFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80PixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle36WP80TrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoEcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoHEFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoHcalIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle38TightIdLooseIsoTrackIsoFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle40CaloIdVTClusterShapeFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle40CaloIdVTHEFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle40CaloIdVTPixelMatchFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle40CaloIdVTTrkIdTDetaFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle40CaloIdVTTrkIdTDphiFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle40CaloIdVTTrkIdTOneOEMinusOneOPFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle55CaloIdVTClusterShapeFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle55CaloIdVTHEFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle55CaloIdVTPixelMatchFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle55CaloIdVTTrkIdTDetaFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle55CaloIdVTTrkIdTDphiFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle55CaloIdVTTrkIdTOneOEMinusOneOPFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTCaloIsoVLEcalIsoFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTCaloIsoVLHEFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTCaloIsoVLHcalIsoFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTCaloIsoVLTrkIdTTrkIsoVLCleanedPFHT350NoPUPFMET45"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTCaloIsoVLTrkIdTTrkIsoVLCleanedPFHT350NoPUPFMET50"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTClusterShapeFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTIsoVLPixelMatchFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTTrkIdTCaloIsoVLDetaFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTTrkIdTCaloIsoVLDphiFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTTrkIdTCaloIsoVLOneOEMinusOneOPFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5CaloIdTTrkIdTCaloIsoVLTrkIsoVLFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiClusterShapeFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiDetaFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiDphiFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiEcalIsolFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiHEDoubleFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiHEFilter"    ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiHcalIsolFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiMass2to15EtFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiOneOEMinusOneOPFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiPMMassFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiPixelMatchFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle5SC5JpsiTrackIsolFilter"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle60CaloIdVTClusterShapeFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle60CaloIdVTHEFilterUnseeded"   ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltEle60CaloIdVTPixelMatchFilterUnseeded"   ""                "HLT"     
